01	13876	1	1	1
02	11608	1	0	3
03	18701	1	1	3
04	11283	1	0	2
05	11767	1	0	3
06	20872	2	1	2
07	11772	2	0	2
08	10535	2	0	1
09	12195	2	0	3
10	12313	3	0	2
11	14975	3	1	1
12	21371	3	1	2
13	19800	3	1	3
14	11417	4	0	1
15	20263	4	1	3
16	13231	4	0	3
17	12884	4	0	2
18	13245	5	0	2
19	13677	5	0	3
20	15965	5	1	1
21	12366	6	0	1
22	21352	6	1	3
23	13839	6	0	2
24	22884	6	1	2
25	16978	7	1	1
26	14803	8	0	2
27	17404	8	1	1
28	22184	8	1	3
29	13548	8	0	1
30	14467	10	0	1
31	15942	10	0	2
32	23174	10	1	3
33	23780	10	1	2
34	25410	11	1	2
35	14861	11	0	1
36	16882	12	0	2
37	24170	12	1	3
38	15990	13	0	1
39	26330	13	1	2
40	17949	14	0	2
41	25685	15	1	3
42	27837	16	1	2
43	18838	16	0	2
44	17483	16	0	1
45	19207	17	0	2
46	19346	20	0	1
